order_id,delivery_person_id,delivery_person_age,delivery_person_rating,city,order_date,order_time,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,distance_km,order_value_inr,payment_type,order_status,cancellation_reason,delivery_time_min
ORD104717,CHERES16DEL01,41,4.5,Chennai,2026-03-01,12:41:00,Cloudy,Low,2,Drinks,motorcycle,1,No,6.65,113.87,UPI,Delivered,,34.8
ORD100201,BENRES34DEL07,30,5.0,Bengaluru,2026-03-01,12:43:00,Sandstorms,High,3,Snack,electric_scooter,1,No,0.82,225.82,UPI,Delivered,,38.1
ORD105678,KOLRES21DEL03,24,4.2,Kolkata,2026-03-01,13:25:00,Cloudy,Low,3,Buffet,motorcycle,1,No,5.4,262.77,Cash,Delivered,,35.6
ORD103465,DELRES13DEL07,34,5.0,Delhi,2026-03-01,13:26:00,Sunny,Low,0,Snack,scooter,0,No,4.97,615.45,Wallet,Cancelled,Delivery Partner Unavailable,
ORD104170,PUNRES12DEL02,36,4.5,Pune,2026-03-01,13:47:00,Sandstorms,High,0,Meal,motorcycle,2,No,7.7,261.89,UPI,Delivered,,58.3
ORD103135,MUMRES35DEL06,34,5.0,Mumbai,2026-03-01,14:54:00,Fog,High,0,Snack,motorcycle,0,No,7.91,309.02,Cash,Delivered,,41.9
ORD104612,MUMRES42DEL03,39,3.5,Mumbai,2026-03-01,15:48:00,Cloudy,High,1,Snack,motorcycle,0,No,6.06,395.57,UPI,Cancelled,Traffic Delay,
ORD100409,HYDRES05DEL08,27,3.5,Hyderabad,2026-03-01,16:35:00,Sunny,Jam,1,Drinks,motorcycle,3,No,2.58,250.6,UPI,Delivered,,47.1
ORD102460,HYDRES05DEL06,34,4.5,Hyderabad,2026-03-01,16:43:00,Cloudy,Medium,3,Meal,electric_scooter,1,No,1.38,403.2,UPI,Delivered,,34.6
ORD104323,HYDRES20DEL06,29,4.5,Hyderabad,2026-03-01,17:35:00,Sunny,Low,3,Snack,motorcycle,1,No,0.99,406.25,Cash,Delivered,,19.4
ORD104262,MUMRES25DEL05,24,4.6,Mumbai,2026-03-01,18:29:00,Cloudy,High,0,Snack,scooter,1,No,3.92,200.66,Wallet,Delivered,,45.4
ORD100420,KOLRES36DEL02,39,4.4,Kolkata,2026-03-01,18:32:00,Cloudy,Medium,2,Drinks,motorcycle,1,No,14.84,189.49,UPI,Delivered,,51.7
ORD102013,BENRES44DEL02,37,3.8,Bengaluru,2026-03-01,18:39:00,Cloudy,Low,1,Meal,scooter,0,No,5.1,235.43,Card,Delivered,,26.8
ORD102621,BENRES05DEL07,32,4.6,Bengaluru,2026-03-01,18:40:00,Sandstorms,High,2,Buffet,electric_scooter,0,No,2.81,306.68,Cash,Delivered,,41.7
ORD100302,CHERES39DEL02,18,4.7,Chennai,2026-03-01,19:07:00,Sunny,High,0,Snack,scooter,1,No,1.79,659.48,Card,Delivered,,34.5
ORD103969,CHERES15DEL05,20,4.6,Chennai,2026-03-01,19:11:00,Sunny,Jam,2,Drinks,motorcycle,0,No,2.8,479.23,UPI,Cancelled,Traffic Delay,
ORD100357,BENRES32DEL06,27,4.6,Bengaluru,2026-03-01,19:18:00,Sunny,High,1,Meal,motorcycle,0,No,5.01,318.3,UPI,Delivered,,38.2
ORD105048,MUMRES07DEL04,40,4.3,Mumbai,2026-03-01,19:23:00,Sunny,High,0,Drinks,electric_scooter,0,No,14.0,243.09,UPI,Delivered,,52.8
ORD105481,DELRES38DEL05,22,4.2,Delhi,2026-03-01,19:30:00,Stormy,Medium,0,Meal,motorcycle,2,No,3.93,350.32,Cash,Delivered,,54.3
ORD102468,PUNRES34DEL01,32,4.3,Pune,2026-03-01,19:32:00,Fog,Low,0,Meal,bicycle,1,No,1.58,390.37,UPI,Cancelled,Weather Disruption,
ORD100596,DELRES33DEL01,34,4.7,Delhi,2026-03-01,19:44:00,Fog,Medium,2,Meal,motorcycle,1,No,6.88,100.04,UPI,Cancelled,Customer Cancelled,
ORD104531,DELRES30DEL05,31,4.9,Delhi,2026-03-01,19:50:00,Sunny,Medium,3,Drinks,scooter,0,No,4.17,564.58,Cash,Cancelled,Restaurant Delay,
ORD100910,DELRES02DEL08,19,4.5,Delhi,2026-03-01,19:59:00,Cloudy,Medium,0,Buffet,motorcycle,0,No,2.32,184.77,UPI,Delivered,,27.3
ORD101536,DELRES20DEL01,36,4.1,Delhi,2026-03-01,20:03:00,Windy,High,0,Snack,motorcycle,0,No,1.27,140.89,UPI,Delivered,,27.2
ORD100832,DELRES28DEL01,25,4.1,Delhi,2026-03-01,20:20:00,Cloudy,High,2,Buffet,scooter,1,No,7.1,371.03,UPI,Delivered,,43.4
ORD104032,HYDRES32DEL04,34,4.3,Hyderabad,2026-03-01,20:20:00,Fog,Medium,3,Drinks,motorcycle,1,No,4.4,335.36,UPI,Delivered,,38.7
ORD104596,BENRES11DEL07,23,4.2,Bengaluru,2026-03-01,20:41:00,Cloudy,Medium,0,Meal,motorcycle,2,No,5.13,551.31,Cash,Delivered,,42.7
ORD101820,MUMRES41DEL08,41,4.4,Mumbai,2026-03-01,20:50:00,Sunny,High,1,Buffet,scooter,1,No,5.48,434.2,Wallet,Cancelled,Delivery Partner Unavailable,
ORD105826,MUMRES35DEL04,34,4.7,Mumbai,2026-03-01,22:01:00,Windy,Medium,0,Drinks,motorcycle,1,No,1.28,714.22,UPI,Delivered,,28.1
ORD102369,DELRES20DEL03,24,4.5,Delhi,2026-03-01,22:05:00,Cloudy,Low,3,Drinks,bicycle,2,No,5.78,185.13,UPI,Delivered,,40.6
ORD101834,KOLRES21DEL04,29,4.3,Kolkata,2026-03-01,22:06:00,Cloudy,Medium,1,Drinks,motorcycle,1,No,4.89,593.84,Card,Delivered,,38.3
ORD101032,BENRES09DEL02,31,4.9,Bengaluru,2026-03-01,22:20:00,Sandstorms,Medium,1,Buffet,electric_scooter,0,No,8.49,252.1,UPI,Delivered,,42.2
ORD105055,HYDRES12DEL07,29,3.8,Hyderabad,2026-03-01,22:58:00,Cloudy,Medium,2,Buffet,bicycle,1,No,21.53,450.22,UPI,Delivered,,63.1
ORD103220,PUNRES36DEL02,33,4.9,Pune,2026-03-01,23:19:00,Sunny,Medium,1,Meal,scooter,1,No,6.14,195.79,Card,Delivered,,33.8
ORD102056,BENRES41DEL01,26,4.3,Bengaluru,2026-03-02,06:44:00,Sunny,Low,2,Drinks,motorcycle,0,No,2.99,510.74,Cash,Cancelled,Delivery Partner Unavailable,
ORD101711,KOLRES32DEL07,30,4.2,Kolkata,2026-03-02,08:51:00,Fog,Low,1,Drinks,motorcycle,0,No,6.03,165.95,Card,Delivered,,30.3
ORD103720,CHERES03DEL03,30,4.5,Chennai,2026-03-02,09:18:00,Sunny,Low,0,Drinks,electric_scooter,0,No,2.36,136.49,Cash,Delivered,,27.0
ORD100856,DELRES26DEL04,33,4.7,Delhi,2026-03-02,09:52:00,Sunny,High,0,Buffet,motorcycle,0,No,8.62,202.5,UPI,Delivered,,45.7
ORD105203,DELRES28DEL04,25,4.4,Delhi,2026-03-02,11:10:00,Sunny,Medium,2,Drinks,motorcycle,0,No,1.41,149.82,UPI,Delivered,,26.1
ORD105025,MUMRES13DEL05,30,4.0,Mumbai,2026-03-02,11:39:00,Cloudy,High,0,Snack,motorcycle,1,No,2.4,342.35,Cash,Delivered,,33.3
ORD102969,CHERES41DEL04,23,4.5,Chennai,2026-03-02,11:41:00,Sunny,Medium,3,Snack,electric_scooter,0,No,5.21,220.61,UPI,Delivered,,31.8
ORD105874,BENRES30DEL03,30,5.0,Bengaluru,2026-03-02,11:51:00,Fog,Medium,1,Meal,motorcycle,1,No,2.3,380.55,UPI,Delivered,,41.9
ORD101713,BENRES16DEL03,25,4.2,Bengaluru,2026-03-02,11:53:00,Sunny,Jam,1,Meal,motorcycle,0,No,7.36,237.3,Cash,Delivered,,45.5
ORD104456,PUNRES08DEL06,23,4.2,Pune,2026-03-02,12:14:00,Sunny,Low,3,Snack,motorcycle,1,No,1.86,200.04,Wallet,Delivered,,22.2
ORD105403,BENRES37DEL08,33,4.1,Bengaluru,2026-03-02,12:40:00,Sunny,Medium,0,Drinks,scooter,1,No,7.62,98.91,UPI,Delivered,,35.8
ORD101822,BENRES31DEL03,20,4.1,Bengaluru,2026-03-02,12:45:00,Sunny,Low,0,Drinks,bicycle,1,No,11.46,277.74,Cash,Delivered,,30.5
ORD103303,CHERES09DEL02,27,4.7,Chennai,2026-03-02,12:47:00,Cloudy,Medium,0,Meal,electric_scooter,0,No,0.85,321.5,Card,Delivered,,19.4
ORD100111,BENRES21DEL04,25,4.0,Bengaluru,2026-03-02,12:55:00,Stormy,Medium,0,Drinks,motorcycle,2,No,6.33,546.41,Cash,Cancelled,Restaurant Delay,
ORD105458,DELRES13DEL03,28,4.6,Delhi,2026-03-02,13:07:00,Sunny,Low,2,Snack,motorcycle,0,No,2.96,307.26,UPI,Cancelled,Weather Disruption,
ORD102385,PUNRES09DEL08,18,4.7,Pune,2026-03-02,13:33:00,Windy,Medium,2,Snack,electric_scooter,0,No,3.37,207.09,UPI,Delivered,,29.1
ORD104408,HYDRES03DEL01,31,4.3,Hyderabad,2026-03-02,14:22:00,Cloudy,High,2,Buffet,motorcycle,0,No,18.49,308.29,UPI,Cancelled,Customer Cancelled,
ORD100510,CHERES35DEL04,23,4.3,Chennai,2026-03-02,14:48:00,Sunny,High,2,Buffet,motorcycle,0,No,2.33,727.57,Cash,Delivered,,31.5
ORD100895,CHERES19DEL08,26,4.3,Chennai,2026-03-02,15:05:00,Sunny,High,2,Drinks,motorcycle,0,No,7.8,137.45,Wallet,Delivered,,36.7
ORD103062,BENRES09DEL05,32,4.3,Bengaluru,2026-03-02,15:08:00,Cloudy,High,1,Snack,electric_scooter,1,No,4.3,196.3,UPI,Delivered,,41.0
ORD105631,CHERES39DEL06,19,3.7,Chennai,2026-03-02,16:49:00,Cloudy,High,0,Drinks,motorcycle,2,No,1.46,281.97,Card,Delivered,,36.8
ORD103537,BENRES24DEL07,31,5.0,Bengaluru,2026-03-02,17:07:00,Cloudy,Medium,1,Snack,scooter,1,No,8.9,131.92,UPI,Delivered,,34.3
ORD101455,BENRES37DEL08,33,4.8,Bengaluru,2026-03-02,17:33:00,Sandstorms,Medium,0,Snack,electric_scooter,1,No,21.11,338.81,Wallet,Cancelled,Restaurant Delay,
ORD104629,MUMRES35DEL05,26,4.9,Mumbai,2026-03-02,17:37:00,Fog,Medium,2,Snack,scooter,1,No,9.69,360.82,Wallet,Delivered,,46.2
ORD104361,DELRES44DEL05,37,4.5,Delhi,2026-03-02,18:12:00,Sunny,Low,0,Snack,scooter,0,No,5.57,426.42,UPI,Delivered,,23.4
ORD105128,HYDRES44DEL01,25,4.3,Hyderabad,2026-03-02,18:23:00,Cloudy,Jam,3,Snack,motorcycle,2,No,3.12,319.3,UPI,Cancelled,Customer Cancelled,
ORD104008,BENRES10DEL07,34,3.9,Bengaluru,2026-03-02,18:27:00,Sunny,Medium,1,Snack,motorcycle,0,No,1.07,523.05,UPI,Delivered,,24.9
ORD103926,BENRES26DEL06,29,4.0,Bengaluru,2026-03-02,18:28:00,Sunny,Low,0,Buffet,motorcycle,1,No,0.93,365.6,UPI,Delivered,,25.2
ORD103564,BENRES44DEL01,20,3.7,Bengaluru,2026-03-02,18:35:00,Cloudy,High,1,Meal,motorcycle,1,No,4.66,653.29,Card,Delivered,,41.2
ORD101097,PUNRES36DEL08,31,4.1,Pune,2026-03-02,18:42:00,Cloudy,High,3,Drinks,electric_scooter,1,No,1.76,327.67,UPI,Delivered,,37.0
ORD102146,HYDRES27DEL03,28,4.1,Hyderabad,2026-03-02,18:52:00,Fog,Medium,0,Drinks,motorcycle,0,No,5.75,322.36,UPI,Cancelled,Delivery Partner Unavailable,
ORD105803,MUMRES39DEL03,29,3.9,Mumbai,2026-03-02,18:52:00,Sunny,Low,2,Drinks,electric_scooter,1,No,4.61,252.36,UPI,Delivered,,30.5
ORD100831,BENRES11DEL07,20,4.5,Bengaluru,2026-03-02,19:03:00,Sunny,High,0,Buffet,motorcycle,0,No,8.45,657.4,Cash,Delivered,,44.0
ORD101074,BENRES05DEL08,31,4.2,Bengaluru,2026-03-02,19:13:00,Cloudy,Low,2,Snack,scooter,1,No,3.46,268.48,UPI,Delivered,,28.7
ORD104245,DELRES07DEL03,39,3.9,Delhi,2026-03-02,19:24:00,Cloudy,High,2,Snack,electric_scooter,1,No,1.16,488.88,Cash,Delivered,,28.7
ORD103377,PUNRES30DEL02,34,4.6,Pune,2026-03-02,19:32:00,Sunny,Medium,1,Meal,motorcycle,2,No,6.33,257.72,UPI,Delivered,,36.0
ORD100548,CHERES30DEL07,35,4.9,Chennai,2026-03-02,19:38:00,Windy,Medium,0,Meal,scooter,1,No,8.69,254.95,Cash,Delivered,,35.5
ORD102575,MUMRES32DEL02,32,4.4,Mumbai,2026-03-02,19:42:00,Fog,Medium,0,Snack,scooter,1,No,1.29,347.13,UPI,Delivered,,36.2
ORD103512,MUMRES41DEL06,33,4.1,Mumbai,2026-03-02,20:27:00,Stormy,High,0,Meal,motorcycle,0,No,10.67,437.44,UPI,Delivered,,56.2
ORD100574,BENRES18DEL05,32,4.5,Bengaluru,2026-03-02,20:28:00,Cloudy,High,3,Drinks,scooter,0,No,3.22,299.53,UPI,Delivered,,36.4
ORD104801,HYDRES26DEL07,23,4.4,Hyderabad,2026-03-02,20:38:00,Sunny,High,3,Meal,scooter,0,No,7.82,272.1,UPI,Delivered,,35.5
ORD101110,PUNRES25DEL02,30,4.4,Pune,2026-03-02,20:51:00,Fog,High,2,Buffet,electric_scooter,0,No,7.94,226.17,Wallet,Delivered,,44.2
ORD103943,HYDRES12DEL06,30,4.2,Hyderabad,2026-03-02,21:08:00,Windy,Jam,1,Snack,scooter,0,No,1.85,417.76,Cash,Delivered,,42.4
ORD102930,DELRES07DEL01,26,4.2,Delhi,2026-03-02,21:15:00,Sunny,Medium,1,Meal,scooter,0,No,8.25,344.94,Card,Delivered,,37.5
ORD104233,CHERES01DEL02,21,4.0,Chennai,2026-03-02,21:24:00,Sandstorms,Medium,2,Snack,motorcycle,0,No,1.31,99.17,Cash,Delivered,,27.4
ORD100158,DELRES01DEL05,20,4.3,Delhi,2026-03-02,21:53:00,Cloudy,High,1,Snack,motorcycle,0,No,13.09,207.64,UPI,Delivered,,47.3
ORD101206,DELRES15DEL02,21,4.3,Delhi,2026-03-02,22:11:00,Fog,Jam,2,Buffet,scooter,0,No,3.62,145.44,UPI,Delivered,,45.3
ORD101968,MUMRES40DEL03,18,4.6,Mumbai,2026-03-02,22:12:00,Cloudy,Low,1,Meal,motorcycle,1,No,3.67,269.5,Card,Delivered,,32.8
ORD101784,DELRES34DEL06,31,4.0,Delhi,2026-03-02,22:15:00,Sunny,Low,0,Drinks,scooter,0,No,2.68,359.62,Cash,Delivered,,19.4
ORD100543,DELRES40DEL02,26,4.4,Delhi,2026-03-02,22:25:00,Windy,Jam,1,Drinks,scooter,1,No,1.02,188.68,UPI,Cancelled,Weather Disruption,
ORD100414,MUMRES26DEL05,30,3.9,Mumbai,2026-03-02,22:33:00,Sunny,Medium,0,Buffet,motorcycle,0,No,2.61,233.48,UPI,Delivered,,25.5
ORD101404,DELRES33DEL07,21,4.0,Delhi,2026-03-03,00:54:00,Stormy,Low,2,Meal,motorcycle,1,No,3.33,655.44,UPI,Delivered,,37.4
ORD103546,MUMRES18DEL08,27,4.6,Mumbai,2026-03-03,03:34:00,Sunny,Medium,3,Buffet,motorcycle,0,No,1.19,606.27,UPI,Delivered,,29.2
ORD104711,DELRES37DEL04,23,4.6,Delhi,2026-03-03,05:40:00,Cloudy,Low,0,Buffet,motorcycle,3,No,7.43,502.2,Wallet,Delivered,,48.1
ORD102653,DELRES25DEL06,26,4.3,Delhi,2026-03-03,07:02:00,Sunny,Jam,3,Drinks,scooter,0,No,4.73,157.11,UPI,Delivered,,46.5
ORD103020,MUMRES05DEL07,36,4.1,Mumbai,2026-03-03,08:22:00,Sunny,Jam,0,Drinks,motorcycle,0,No,3.08,85.92,Card,Delivered,,47.4
ORD101553,HYDRES29DEL08,30,4.5,Hyderabad,2026-03-03,10:01:00,Sunny,High,2,Drinks,motorcycle,0,No,5.25,484.12,UPI,Delivered,,34.7
ORD103223,MUMRES12DEL01,39,4.6,Mumbai,2026-03-03,10:59:00,Fog,Low,2,Drinks,scooter,0,No,0.83,223.95,UPI,Delivered,,29.9
ORD103653,HYDRES05DEL08,25,4.6,Hyderabad,2026-03-03,11:19:00,Sunny,High,1,Meal,electric_scooter,0,No,11.71,661.42,UPI,Cancelled,Restaurant Delay,
ORD104437,HYDRES14DEL03,23,4.5,Hyderabad,2026-03-03,11:59:00,Sunny,High,0,Meal,bicycle,0,No,1.53,254.29,Cash,Delivered,,32.4
ORD103165,DELRES29DEL08,32,4.7,Delhi,2026-03-03,12:25:00,Fog,Medium,0,Drinks,motorcycle,0,No,2.98,224.79,UPI,Delivered,,32.4
ORD102163,KOLRES27DEL02,39,4.3,Kolkata,2026-03-03,12:31:00,Cloudy,Medium,2,Buffet,motorcycle,2,No,2.9,188.27,UPI,Delivered,,31.4
ORD100167,MUMRES25DEL06,29,4.2,Mumbai,2026-03-03,13:28:00,Sunny,Low,1,Meal,motorcycle,0,No,3.76,122.26,UPI,Delivered,,20.4
ORD104373,BENRES25DEL04,31,4.7,Bengaluru,2026-03-03,13:29:00,Windy,Medium,0,Snack,scooter,0,No,3.03,93.47,Cash,Delivered,,33.8
ORD104042,HYDRES26DEL07,26,4.4,Hyderabad,2026-03-03,13:35:00,Cloudy,Medium,1,Meal,motorcycle,1,No,3.59,273.78,UPI,Delivered,,38.8
ORD104097,MUMRES27DEL03,30,4.4,Mumbai,2026-03-03,13:41:00,Stormy,Low,3,Meal,motorcycle,1,No,9.08,578.66,UPI,Delivered,,47.0
ORD102410,KOLRES25DEL01,35,4.9,Kolkata,2026-03-03,14:01:00,Fog,High,2,Drinks,motorcycle,0,No,1.3,84.14,Cash,Cancelled,Traffic Delay,
ORD100707,DELRES32DEL08,28,3.8,Delhi,2026-03-03,14:32:00,Cloudy,High,0,Snack,scooter,0,No,3.17,420.86,UPI,Delivered,,38.2
ORD103009,DELRES44DEL08,27,5.0,Delhi,2026-03-03,14:40:00,Fog,High,2,Meal,electric_scooter,2,No,1.5,371.94,UPI,Delivered,,46.3
ORD100442,MUMRES17DEL08,29,4.5,Mumbai,2026-03-03,15:02:00,Sunny,High,0,Drinks,scooter,3,No,13.26,254.36,Cash,Delivered,,52.0
ORD104532,BENRES01DEL02,34,4.8,Bengaluru,2026-03-03,15:29:00,Sunny,High,0,Buffet,electric_scooter,0,No,1.66,198.01,Cash,Cancelled,Delivery Partner Unavailable,
ORD104579,MUMRES37DEL05,31,4.3,Mumbai,2026-03-03,16:18:00,Sandstorms,Medium,0,Buffet,scooter,3,No,7.56,206.84,Wallet,Delivered,,56.3
ORD104453,DELRES31DEL01,35,3.8,Delhi,2026-03-03,16:55:00,Stormy,Low,3,Snack,scooter,0,No,9.0,206.94,Wallet,Delivered,,39.9
ORD102565,DELRES25DEL02,39,4.4,Delhi,2026-03-03,17:34:00,Cloudy,Medium,0,Drinks,bicycle,1,No,3.28,195.59,UPI,Delivered,,34.0
ORD101988,CHERES30DEL01,30,4.8,Chennai,2026-03-03,17:46:00,Sunny,Low,3,Meal,scooter,1,No,3.89,413.11,UPI,Delivered,,32.3
ORD103806,PUNRES39DEL07,44,4.9,Pune,2026-03-03,18:08:00,Sunny,Medium,0,Drinks,motorcycle,2,No,1.53,296.04,UPI,Delivered,,32.3
ORD100710,CHERES42DEL05,35,4.5,Chennai,2026-03-03,18:11:00,Sunny,High,0,Meal,motorcycle,1,No,3.71,493.57,UPI,Delivered,,35.7
ORD100110,MUMRES20DEL02,24,4.3,Mumbai,2026-03-03,18:13:00,Sunny,Medium,1,Buffet,motorcycle,1,No,1.59,162.52,UPI,Delivered,,30.1
ORD104318,PUNRES43DEL02,34,4.2,Pune,2026-03-03,19:06:00,Windy,Low,2,Drinks,motorcycle,2,No,3.81,260.49,UPI,Delivered,,33.1
ORD100283,MUMRES20DEL03,21,4.0,Mumbai,2026-03-03,19:20:00,Cloudy,High,1,Snack,scooter,0,No,6.99,131.38,Cash,Delivered,,39.8
ORD101168,PUNRES21DEL01,33,4.4,Pune,2026-03-03,19:36:00,Sunny,Medium,0,Meal,scooter,1,No,2.83,240.0,UPI,Delivered,,35.9
ORD105444,CHERES41DEL03,34,4.5,Chennai,2026-03-03,19:48:00,Sandstorms,Medium,3,Drinks,motorcycle,0,No,13.15,583.34,Cash,Delivered,,50.3
ORD102913,PUNRES10DEL04,29,4.3,Pune,2026-03-03,19:55:00,Fog,Low,0,Buffet,motorcycle,0,No,4.84,185.41,Card,Delivered,,29.9
ORD104710,DELRES04DEL01,27,3.8,Delhi,2026-03-03,20:23:00,Stormy,Low,1,Drinks,motorcycle,0,No,4.73,329.3,Card,Delivered,,35.8
ORD103217,MUMRES06DEL07,29,4.3,Mumbai,2026-03-03,20:32:00,Sunny,Low,2,Drinks,motorcycle,3,No,4.3,267.37,UPI,Delivered,,39.0
ORD105078,DELRES22DEL02,32,4.4,Delhi,2026-03-03,20:40:00,Windy,Medium,0,Snack,bicycle,0,No,6.23,702.88,UPI,Delivered,,34.2
ORD100726,DELRES20DEL06,36,4.3,Delhi,2026-03-03,20:52:00,Cloudy,High,2,Snack,motorcycle,1,No,7.09,311.23,UPI,Delivered,,40.0
ORD100921,CHERES42DEL01,35,4.6,Chennai,2026-03-03,21:43:00,Cloudy,Low,1,Meal,motorcycle,1,No,8.48,217.08,Wallet,Delivered,,34.2
ORD102782,MUMRES31DEL04,34,3.4,Mumbai,2026-03-03,22:04:00,Stormy,Low,0,Drinks,scooter,0,No,1.92,235.84,Wallet,Delivered,,29.8
ORD102531,CHERES30DEL05,24,4.0,Chennai,2026-03-03,22:28:00,Sunny,Medium,0,Drinks,scooter,3,No,10.44,204.74,UPI,Delivered,,55.8
ORD105774,HYDRES38DEL06,23,4.5,Hyderabad,2026-03-03,22:34:00,Cloudy,Medium,1,Buffet,scooter,3,No,16.2,198.94,UPI,Delivered,,66.3
ORD101797,BENRES19DEL01,22,4.1,Bengaluru,2026-03-03,22:41:00,Cloudy,Medium,3,Meal,motorcycle,2,No,6.3,181.01,Wallet,Delivered,,40.9
ORD102561,BENRES30DEL07,37,4.2,Bengaluru,2026-03-03,22:41:00,Cloudy,Low,3,Buffet,bicycle,0,No,1.64,274.94,Wallet,Delivered,,21.6
ORD103282,DELRES42DEL08,34,4.3,Delhi,2026-03-03,22:41:00,Windy,High,2,Buffet,scooter,1,No,1.66,227.59,UPI,Delivered,,32.8
ORD103226,BENRES22DEL02,29,3.7,Bengaluru,2026-03-03,23:25:00,Sunny,Medium,1,Drinks,motorcycle,0,No,9.54,185.75,UPI,Delivered,,38.5
ORD105622,HYDRES38DEL03,23,3.9,Hyderabad,2026-03-03,23:35:00,Sunny,Medium,1,Meal,scooter,0,No,2.85,238.75,UPI,Delivered,,25.2
ORD101787,DELRES10DEL08,33,5.0,Delhi,2026-03-04,03:47:00,Windy,Jam,1,Meal,motorcycle,2,No,1.75,128.34,UPI,Delivered,,50.1
ORD102864,MUMRES22DEL07,25,4.2,Mumbai,2026-03-04,04:15:00,Sunny,Medium,3,Snack,electric_scooter,0,No,7.99,306.67,UPI,Delivered,,35.2
ORD100258,MUMRES14DEL06,38,4.8,Mumbai,2026-03-04,07:16:00,Stormy,High,1,Meal,scooter,0,No,4.23,295.84,Cash,Cancelled,Delivery Partner Unavailable,
ORD101618,CHERES38DEL08,23,4.0,Chennai,2026-03-04,07:49:00,Windy,Medium,0,Drinks,motorcycle,0,No,12.95,569.52,Card,Delivered,,42.7
ORD105729,DELRES26DEL08,23,4.0,Delhi,2026-03-04,08:06:00,Cloudy,Medium,3,Snack,motorcycle,1,No,4.87,159.31,Cash,Delivered,,38.5
ORD105580,CHERES35DEL02,34,3.9,Chennai,2026-03-04,08:57:00,Sunny,Jam,1,Buffet,motorcycle,0,No,9.87,228.97,UPI,Delivered,,49.0
